"year","state","name","pop","chrstprotpct","chrstcatpct","chrstorthpct","chrstangpct","chrstothrpct","chrstgenpct","judorthpct","judconspct","judrefpct","judothrpct","judgenpct","islmsunpct","islmshipct","islmibdpct","islmnatpct","islmalwpct","islmahmpct","islmothrpct","islmgenpct","budmahpct","budthrpct","budothrpct","budgenpct","zorogenpct","hindgenpct","sikhgenpct","shntgenpct","bahgenpct","taogenpct","jaingenpct","confgenpct","syncgenpct","anmgenpct","nonreligpct","othrgenpct","sumreligpct","total","dualrelig","datatype","sourcereliab","recreliab","reliabilevel","Version","sourcecode"
1945,2,"USA",139928000,0.4722,0.2767,0.008,0.0172,0.014,0.788,0.0059,0.0098,0.0136,0.0039,0.0332,0,0,0,0,0,0,0,0,0,0,0.0114,0.0114,0,0,0,0,0,0,0,0,0,0,0.1635,0.0039,0.9961,1,0,34,2,10,"Medium",1.1,13
1950,2,"USA",152271008,0.48,0.28,0.02,0.02,0.0077,0.8077,0.0071,0.0118,0.0164,0.0048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1482,0.0041,0.9959,1,0,34,6,28,"Low",1.1,18
1955,2,"USA",165931000,0.4779,0.2796,0.0208,0.0155,0.0137,0.8076,0.0057,0.0094,0.0132,0.0038,0.0321,0,0,0,0,0,0,0,0,0,0,5e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0.1404,0.0193,0.9807,0.9999,0,134,5,10,"Medium",1.1,15
1960,2,"USA",180671000,0.502,0.28,0.0185,0.015,0.0161,0.8315,0.0054,0.0089,0.0125,0.0036,0.0304,0,0,0,0,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0,0.1193,0.0076,0.9924,0.9999,0,134,2,10,"Medium",1.1,13
1965,2,"USA",194631000,0.4838,0.3327,0.0246,0.0145,0.005,0.8607,0.0051,0.0085,0.0118,0.0034,0.0288,0,0,0,0,0,0,0,0,0,0,0.0056,0.0056,0,0,0,0,0,0,0,0,0,0,0.102,0.003,0.997,1.0001,0,134,8,28,"Low",1.1,20
1970,2,"USA",200706000,0.4679,0.3444,0.0274,0.0151,0.0065,0.8613,0.0054,0.009,0.0126,0.0036,0.0306,0,0,0,0,0,0,0,0,0,0,0.0055,0.0055,0,0,0,0,4e-04,0,0,0,0,0,0.102,1e-04,0.9999,0.9999,0,134,4,10,"Medium",1.1,7
1975,2,"USA",215943000,0.4334,0.3574,0.0308,0.015,0.01,0.8466,0.0055,0.0091,0.0127,0.0037,0.031,0,0,0,0,0,0,0,0,0,0,0.0047,0.0047,0,7e-04,0,0,0.001,0,0,0,0,0,0.1148,0.0011,0.9989,0.9999,0,99,99,35,"Low",1.1,99
1980,2,"USA",227726000,0.4445,0.33,0.0205,0.0157,0.0089,0.8196,0.0056,0.0094,0.0131,0.0038,0.0319,0.0106,0.0011,0,0,0,0,0,0.0117,0,0,0.006,0.006,0,0.0044,0,0,0,4e-04,0,0,0,3e-04,0.1177,0.0081,0.9919,1.0001,0,24,4,5,"Medium",1.1,7
1985,2,"USA",238466000,0.45,0.3458,0.022,0.015,0.005,0.8378,0.0057,0.009,0.0131,0.0037,0.0315,0.0092,0.0013,0,0,0,0,0,0.0104,0,0,0.0083,0.0083,0,0.0042,0,0,0,0,0,0,0,0,0.1065,0.0012,0.9988,0.9999,0,34,2,10,"Medium",1.1,13
1990,2,"USA",249907000,0.5284,0.2622,0.0269,0.0173,0.0232,0.858,0.0039,0.0065,0.009,0.0026,0.022,0.0081,0.0011,0,0,0,0,0,0.0092,0,0,0.0063,0.0063,2e-04,0.0013,1e-04,2e-04,0.0036,4e-04,0,0,0,3e-04,0.0977,6e-04,0.9994,0.9999,0,24,4,7,"High",1.1,25
1995,2,"USA",262755000,0.4707,0.2676,0.0253,0.017,0.04,0.8205,0.0035,0.0059,0.0082,0.0024,0.02,0.0081,0.0011,0,0,0,0,0,0.0092,0,0,0.0061,0.0061,0.0029,0.0022,2e-04,2e-04,0.0026,2e-04,0,1e-04,0.001,8e-04,0.1312,0.0026,0.9974,0.9998,0,34,99,35,"Low",1.1,99
2000,2,"USA",278357000,0.4142,0.2697,0.0236,0.0166,0.0656,0.7897,0.0032,0.0053,0.0074,0.0021,0.018,0.0081,0.0011,0,0,0,0,0,0.0092,0.0029,0,0.0059,0.0088,0.0053,0.003,3e-04,2e-04,0.0016,0,0,3e-04,0.0019,0.0013,0.16,4e-04,0.9996,1,0,24,4,7,"High",1.1,25
2005,2,"USA",295896000,0.3972,0.2594,0.023,0.016,0.0698,0.7654,0.0033,0.0055,0.0077,0.0022,0.0187,0.008,0.0011,0,0,0,0,0,0.0091,0.0029,0,0.0095,0.0124,0.0053,0.0044,9e-04,2e-04,0.0015,0,3e-04,3e-04,0.0023,0.0036,0.175,6e-04,0.9994,1,0,34,99,35,"Low",1.1,99
2010,2,"USA",312750000,0.3829,0.2507,0.0225,0.0155,0.0738,0.7454,0.0034,0.0056,0.0078,0.0023,0.019,0.0079,0.0011,0,0,0,0,0,0.009,0.0029,0,0.008,0.0109,0.0053,0.0057,0.0013,5e-04,0.0015,0,3e-04,3e-04,0.0026,0.0057,0.19,0.0025,0.9975,1,0,24,4,7,"High",1.1,25
1945,20,"CAN",11506655,0.3478,0.4379,0.021,0.0989,0.0097,0.9153,0.0031,0.0054,0.0023,0.0046,0.0154,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,4e-04,0,0,0,0,0,0.001,0,0,0.058,0.942,1.0001,0,24,5,10,"Medium",1.1,15
1950,20,"CAN",13737000,0.2983,0.45,0.0146,0.0947,0.0324,0.89,0.0026,0.0046,0.002,0.0039,0.0131,0,0,0,0,0,0,1e-04,1e-04,0,0,0.0082,0.0082,0,1e-04,7e-04,0,1e-04,0,0,0,0.0011,0.0036,0.0093,0.0736,0.9264,0.9999,0,2,4,7,"Medium",1.1,7
1955,20,"CAN",15736000,0.27,0.4663,0.02,0.1093,0.0221,0.8877,0.0028,0.0048,0.0021,0.0041,0.0138,0,0,0,0,0,0,1e-04,1e-04,0,0,0.0284,0.0284,0,1e-04,3e-04,0,0,0,0,0.0109,5e-04,0.0016,0.0041,0.0526,0.9474,1.0001,0,234,99,35,"Low",1.1,99
1960,20,"CAN",17909000,0.2588,0.4743,0.0195,0.1362,0.014,0.9029,0.0028,0.005,0.0021,0.0043,0.0142,0,0,0,0,0,0,0,0,0,0,0.0436,0.0436,0,0,0,0,0,0,0,0.0191,0,0,0,0.0201,0.9799,0.9999,0,24,10,24,"Medium",1.1,12
1965,20,"CAN",19678000,0.2611,0.46,0.0218,0.122,0.0151,0.88,0.0029,0.0051,0.0022,0.0044,0.0146,0,0,0,0,0,0,0,0,0,0,0.0401,0.0401,0,0,0,0,0,0,0,0.0191,0,0,0.0254,0.0208,0.9792,1,0,1,5,8,"High",1.1,15
1970,20,"CAN",21297000,0.27,0.47,0.03,0.05,0.02,0.84,0.0027,0.0047,0.002,0.0041,0.0135,0,0,0,0,0,0,0.0019,0.0019,0,0,7e-04,7e-04,0,9e-04,9e-04,0,0.0011,0,0,0.0191,0.0014,6e-04,0.0335,0.0863,0.9137,0.9999,0,1,4,7,"Medium",1.1,7
1975,20,"CAN",23142000,0.2646,0.5027,0.015,0.0761,0.01,0.8685,0.0026,0.0046,0.002,0.0039,0.0131,0,0,0,0,0,0,0.0019,0.0019,0,0,7e-04,7e-04,0,9e-04,3e-04,0,0,0.0013,0,0,0,5e-04,0.1056,0.0071,0.9929,0.9999,0,234,5,20,"Medium",1.1,1
1980,20,"CAN",24516000,0.2771,0.476,0.0134,0.1046,0.0081,0.8792,0.0025,0.0044,0.0019,0.0038,0.0126,0.0064,7e-04,0,0,0,0,0,0.0072,0,0,9e-04,9e-04,0,0.0021,4e-04,0,0,0.0012,0,0,0,0.0061,0.0799,0.0105,0.9895,1.0001,0,24,4,5,"Medium",1.1,7
1985,20,"CAN",25843000,0.2883,0.489,0.0155,0.1006,0.0081,0.9014,0.0024,0.0042,0.0018,0.0036,0.0121,0.0074,8e-04,0,0,0,0,0,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,4e-04,0.9996,0.9999,0,24,5,20,"Medium",1.1,1
1990,20,"CAN",27701000,0.2865,0.4592,0.0184,0.104,0.0108,0.8789,0.0025,0.0044,0.0019,0.0038,0.0126,0.0081,9e-04,0,0,0,0,0,0.009,0,0,0.018,0.018,4e-04,0.0056,0.0087,0,0,0.0101,0,0,0,3e-04,0.0558,6e-04,0.9994,1,0,24,4,5,"Medium",1.1,7
1995,20,"CAN",29354000,0.2726,0.4565,0.0188,0.092,0.0104,0.8503,0.0025,0.0043,0.0018,0.0037,0.0123,0.0038,4e-04,0,0,0,0,0,0.0043,0,0,0.0085,0.0085,3e-04,0.0058,0.0067,0,3e-04,0.0048,0,0,0,0.0012,0.0945,0.0109,0.9891,0.9999,0,24,9,24,"Medium",1.1,2
2000,20,"CAN",31147000,0.259,0.452,0.019,0.081,0.01,0.821,0.0024,0.0042,0.0018,0.0036,0.012,0.0081,9e-04,0,0,0,0,0,0.009,0,0,0.0116,0.0116,2e-04,0.006,0.005,0,6e-04,1e-04,0,1e-04,0,0.0021,0.1284,0.004,0.996,1.0001,0,24,4,5,"High",1.1,26
2005,20,"CAN",32300000,0.2785,0.4226,0.0182,0.0778,0.0096,0.8067,0.0021,0.0037,0.0016,0.0032,0.0106,0.018,0.002,0,0,0,0,0,0.02,0,0,0.0187,0.0187,2e-04,0.006,0.005,0,6e-04,1e-04,0,1e-04,0,0.0021,0.1269,0.003,0.997,1,0,24,5,18,"Medium",1.1,83
2010,20,"CAN",34500000,0.2298,0.4202,0.0228,0.0789,0.0144,0.7661,0.002,0.0035,0.0015,0.003,0.0099,0.0174,0.002,0,0,0,0,0,0.0194,0,0,0.0194,0.0194,2e-04,0.008,0.008,0,5e-04,1e-04,1e-04,1e-04,8e-04,0.0021,0.1643,0.001,0.999,1,0,34,7,28,"Low",1.1,26
1975,31,"BHM",189000,0.5309,0.0833,0.0027,0.254,0,0.8709,0,0,0,0.0041,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.091,0.909,1,0,234,5,20,"Medium",1.1,1
1980,31,"BHM",210000,0.498,0.1,0.0029,0.2286,0,0.8294,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186,0.033,0.116,0.884,1,0,2,3,24,"Medium",1.1,14
1985,31,"BHM",232000,0.4698,0.1207,0.003,0.2069,0,0.8004,0,0,0,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0.1651,0.8349,1,0,1,2,2,"High",1.1,13
1990,31,"BHM",255000,0.4886,0.1391,8e-04,0.1937,0,0.8222,0,0,0,0.0016,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,3e-04,0,0.0205,0.1535,0.8465,1.0001,0,234,2,10,"Medium",1.1,13
1995,31,"BHM",284000,0.5244,0.175,7e-04,0.193,0,0.8931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1069,0.8931,1,0,24,5,20,"Medium",1.1,1
2000,31,"BHM",307500,0.676,0.14,0,0.15,0,0.966,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0.0033,0.029,5e-04,0.9995,1.0001,0,24,5,10,"Medium",1.1,83
2005,31,"BHM",325000,0.676,0.14,0,0.15,0,0.966,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0.0032,0.029,5e-04,0.9995,1,0,24,5,10,"Medium",1.1,83
2010,31,"BHM",313312,0.676,0.14,0,0.15,0,0.966,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0.0032,0.029,5e-04,0.9995,1,0,24,4,8,"High",1.1,83
1945,40,"CUB",4930000,0.0377,0.89,0,0,0,0.9277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.7277,1.7277,1,34,10,28,"Low",1.1,12
1950,40,"CUB",5858000,0.0377,0.8474,0,0,0,0.8851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6851,1.6851,1,24,4,5,"Medium",1.1,7
1955,40,"CUB",6426000,0.0377,0.85,0,0,0,0.8877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6877,1.6877,1,24,9,24,"Medium",1.1,2
1960,40,"CUB",7029000,0.0377,0.8428,0,0,0,0.8805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6805,1.6805,1,24,6,24,"Medium",1.1,18
1965,40,"CUB",7400000,0.0358,0.8055,0,0,0,0.8413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6413,1.6413,1,24,5,20,"Medium",1.1,1
1970,40,"CUB",8546000,0.0279,0.716,2e-04,0.0014,0.0013,0.7468,0,0,0,2e-04,2e-04,0,0,0,0,0,0,0,0,0,0,6e-04,6e-04,0,4e-04,0,0,1e-04,0,0,0,0.7,0,0.2457,0,1.6938,1.6938,1,24,4,8,"Medium",1.1,7
1975,40,"CUB",8546000,0.0304,0.7277,2e-04,0.0014,0.0013,0.7611,0,0,0,2e-04,2e-04,0,0,0,0,0,0,1e-04,1e-04,0,0,6e-04,6e-04,0,4e-04,0,0,0,5e-04,0,0,0.7,0,0.2265,0,1.6893,1.6894,1,99,99,35,"Low",1.1,99
1980,40,"CUB",9724000,0.045,0.6655,0,0.0013,0,0.7118,0,0,0,2e-04,2e-04,0,0,0,0,0,0,0,0,0,0,6e-04,6e-04,0,0,0,0,0,0,0,0,0.7,0.0259,0.2505,0,1.689,1.689,1,24,4,8,"Medium",1.1,7
1985,40,"CUB",10098000,0.04,0.7082,0,0,0,0.7482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.2478,0,1.6959,1.696,1,24,2,5,"High",1.1,13
1990,40,"CUB",10624000,0.04,0.6824,1e-04,4e-04,0,0.7229,0,0,0,1e-04,1e-04,0,0,0,0,0,0,8e-04,8e-04,0,0,6e-04,6e-04,0,0.002,0,0,1e-04,0.0019,0,0,0.6,0,0.2426,0,1.5708,1.571,1,24,4,5,"Medium",1.1,7
1995,40,"CUB",10980000,0.0397,0.7366,0,0,0,0.7763,0,0,0,1e-04,1e-04,0,0,0,0,0,0,7e-04,7e-04,0,0,6e-04,6e-04,0,0.002,0,0,1e-04,0.0019,0,0,0.6,0,0.2065,0,1.5882,1.5882,1,99,99,35,"Low",1.1,99
2000,40,"CUB",11201000,0.0446,0.65,0,0,0.0286,0.7232,0,0,0,0,0,0,0,0,0,0,0,8e-04,8e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.15,0,1.574,1.574,1,24,5,10,"Medium",1.1,83
2005,40,"CUB",11243000,0.05,0.6,0.0036,3e-04,0.015,0.6689,0,0,0,1e-04,1e-04,0,0,0,0,0,0,6e-04,6e-04,0,0,0,0,0,0.001,0,0,0,0.0019,0,0,0.5,0,0.1315,0,1.304,1.304,1,24,10,20,"Medium",1.1,78
2010,40,"CUB",11241161,0.0489,0.6,0,0,0.01,0.6589,0,0,0,1e-04,1e-04,0,0,0,0,0,0,7e-04,7e-04,0,0,0,0,0,0.0022,0,0,0,0,0,0,0.5,0,0.1315,0,1.2935,1.2934,1,24,10,20,"Medium",1.1,78
1945,41,"HAI",3090000,0.1003,0.85,0,0,0,0.9503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.4503,1.4503,1,99,99,35,"Low",1.1,99
1950,41,"HAI",3097000,0.1001,0.8505,0,0,0,0.9506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.4506,1.4506,1,24,5,10,"Medium",1.1,15
1955,41,"HAI",3500000,0.0919,0.7934,0,0,0,0.8853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.3853,1.3853,1,99,99,35,"Low",1.1,99
1960,41,"HAI",3804000,0.0875,0.7676,0,0,0,0.8552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.3552,1.3552,1,24,5,10,"Medium",1.1,15
1965,41,"HAI",4143000,0.0833,0.8141,0,0.006,0,0.9034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.4034,1.4034,1,24,4,8,"Medium",1.1,7
1970,41,"HAI",4520000,0.0885,0.8401,0,0.0085,0,0.9372,0,0,0,0,0,0,0,0,0,0,0,3e-04,3e-04,0,0,0,0,0,0,0,0,0.0024,0,0,0,0.5,0,0.0407,0,1.4805,1.4806,1,24,4,5,"Medium",1.1,7
1975,41,"HAI",4920000,0.0943,0.8313,0,0,0,0.9256,0,0,0,0,0,0,0,0,0,0,0,3e-04,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.0374,0,1.4633,1.4633,1,99,99,35,"Low",1.1,99
1980,41,"HAI",5353000,0.1074,0.8186,0,0.0085,0,0.9345,0,0,0,0,0,0,0,0,0,0,0,3e-04,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0199,0.0108,0,1.4655,1.4655,1,24,4,7,"Medium",1.1,7
1985,41,"HAI",5865000,0.104,0.7698,0,0,0,0.8738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.0887,0,1.4625,1.4625,1,234,9,28,"Low",1.1,2
1990,41,"HAI",6486000,0.1126,0.7894,0,0.013,0,0.915,0,0,0,0,0,0,0,0,0,0,0,3e-04,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.0633,0,1.4786,1.4786,1,234,4,10,"Medium",1.1,7
1995,41,"HAI",7180000,0.1038,0.8126,0,0.0058,0,0.9222,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,6e-04,0,0,0,0.5,0,0,0,1.423,1.4229,1,34,4,10,"Medium",1.1,7
2000,41,"HAI",8222000,0.1,0.7973,0,0,0,0.8973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.6189,0,0.1,0,1.6172,1.6172,1,24,5,10,"Medium",1.1,83
2005,41,"HAI",9410000,0.1,0.75,0,0,0,0.85,0,0,0,1e-04,1e-04,0,0,0,0,0,0,2e-04,2e-04,0,0,0,0,0,0,0,0,0.0012,0,0,0,0.7,0,0.1,0,1.6515,1.6515,1,24,5,10,"Medium",1.1,1
2010,41,"HAI",9760832,0.1,0.72,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,2e-04,2e-04,0,0,0,0,0,0,0,0,9e-04,0,0,0,0.45,0,0.1,0,1.3711,1.3711,1,24,5,10,"Medium",1.1,1
1945,42,"DOM",1980000,0.016,0.933,0,0,0,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.949,1,0,99,99,35,"Low",1.1,99
1950,42,"DOM",2240000,0.0149,0.9368,0,0,0,0.9517,0,0,0,2e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-04,0.0472,0.9528,0.9999,0,24,5,10,"Medium",1.1,15
1955,42,"DOM",2554000,0.016,0.9593,0,0,0,0.9753,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246,0.9754,1,0,234,9,28,"Low",1.1,4
1960,42,"DOM",3231000,0.015,0.9598,0,0,0,0.9748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252,0.9748,1,0,24,10,24,"Medium",1.1,12
1965,42,"DOM",3350000,0.015,0.952,0,0,0,0.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.967,1,0,234,8,28,"Low",1.1,20
1970,42,"DOM",4062000,0.1,0.7851,0,8e-04,0,0.8859,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,4e-04,4e-04,0,0,0,0,0,0,0,0,0,0,0.1108,0.0029,0.9971,1.0001,0,24,4,8,"Medium",1.1,7
1975,42,"DOM",4697000,0.11,0.73,0,8e-04,0,0.8408,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,2e-04,2e-04,0,0,0,0,6e-04,0,0,0,0,0.0069,0.1235,0.028,0.972,1.0001,0,34,99,35,"Low",1.1,99
1980,42,"DOM",5697000,0.0265,0.825,0,8e-04,0,0.8523,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,4e-04,4e-04,0,0,0,0,0.001,0,0,0,0,0.0114,0.11,0.0249,0.9751,1.0001,0,24,4,5,"Medium",1.1,7
1985,42,"DOM",6416000,0.017,0.818,0,0,0,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0.11,0.0456,0.9544,1,0,24,2,5,"High",1.1,13
1990,42,"DOM",7106114,0.0401,0.81,0,5e-04,0,0.8506,0,0,0,0,0,0,0,0,0,0,0,2e-04,2e-04,0,0,2e-04,2e-04,0,0,0,0,7e-04,7e-04,0,0,0,0,0.11,0.0375,0.9625,0.9999,0,24,4,5,"Medium",1.1,7
1995,42,"DOM",7170000,0.11,0.74,0,5e-04,0,0.8505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0.11,0.0388,0.9612,1,0,24,5,24,"Medium",1.1,1
2000,42,"DOM",8261536,0.09,0.7,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,2e-04,2e-04,0,0,2e-04,2e-04,0,0,0,0,0,8e-04,0,0,0,0,0.2,0.0088,0.9912,1,0,24,5,10,"Medium",1.1,83
2005,42,"DOM",9183984,0.11,0.705,0,0,0,0.815,0,0,0,0,0,0,0,0,0,0,0,2e-04,2e-04,0,0,2e-04,2e-04,0,0,0,0,0,8e-04,0,0,0,0,0.18,0.0038,0.9962,1,0,123,8,24,"Medium",1.1,78
2010,42,"DOM",9956648,0.15,0.72,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.01,0.99,1,0,123,8,24,"Medium",1.1,78
1960,51,"JAM",1613148,0.69,0.0715,0.0341,0.0273,0,0.8228,0,0,0,4e-04,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0.1694,0.0066,0.9934,0.9999,0,1,5,8,"High",1.1,15
1965,51,"JAM",1718031,0.65,0.0671,0.0305,0.0277,0,0.7754,0,0,0,3e-04,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0.107,0.1166,0.8834,1,0,34,8,28,"Low",1.1,20
1970,51,"JAM",1810000,0.6419,0.0889,0,0.0276,0.0403,0.7987,0,0,0,0.001,0.001,0,0,0,0,0,0,0.0017,0.0017,0,0,2e-04,2e-04,0,0.0031,0,0,0,6e-04,0,0,0,0,0.1006,0.0943,0.9057,1.0002,0,24,6,24,"Medium",1.1,18
1975,51,"JAM",1810000,0.6435,0.0742,0,0.0482,0.0518,0.8177,0,0,0,5e-04,5e-04,0,0,0,0,0,0,8e-04,8e-04,0,0,2e-04,2e-04,0,0.0035,0,0,0.0028,4e-04,2e-04,0,0,0.0647,0.0673,0.0419,0.9581,1,0,34,99,35,"Low",1.1,99
1980,51,"JAM",1810000,0.6452,0.0594,0,0.0688,0.0633,0.8367,0,0,0,0.0011,0.0011,0,0,0,0,0,0,0,0,0,0,2e-04,2e-04,0,0.0035,0,0,0.0028,0,4e-04,0,0,0.1294,0.0231,0.0027,0.9973,0.9999,0,24,4,5,"Medium",1.1,7
1985,51,"JAM",2311000,0.717,0.0454,0,0.0476,0.0541,0.8641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.0259,0.9741,1,0,24,2,8,"High",1.1,13
1990,51,"JAM",2415000,0.5532,0.0406,0.012,0.0554,0.0435,0.7047,0,0,0,2e-04,2e-04,0,0,0,0,0,0,0.0012,0.0012,0,0,1e-04,1e-04,0,0.0112,0,0,0,0.0026,0,0,0,0,0.2558,0.0241,0.9759,0.9999,0,24,79,5,"High",1.1,79
1995,51,"JAM",2415000,0.5891,0.0342,0.0103,0.047,0.0459,0.7265,0,0,0,2e-04,2e-04,0,0,0,0,0,0,0.0013,0.0013,0,0,1e-04,1e-04,0,0.012,0,0,0,0.0027,0,0,0,0,0.2548,0.0023,0.9977,0.9999,0,24,99,10,"Medium",1.1,99
2000,51,"JAM",2583000,0.5844,0.0259,0.0081,0.0361,0.0452,0.6997,0,0,0,2e-04,2e-04,0,0,0,0,0,0,0.0012,0.0012,0,0,1e-04,1e-04,0,0.0119,0,0,0,0.0027,0,0,0,0,0.2373,0.0468,0.9532,0.9999,0,24,79,5,"High",1.1,79
2005,51,"JAM",2650000,0.6124,0.0236,0.0039,0.0317,0.0418,0.7135,0,0,0,2e-04,2e-04,0,0,0,0,0,0,9e-04,9e-04,0,0,1e-04,1e-04,0,0.0088,0,0,0,0.0013,0,0,0,0,0.2236,0.0516,0.9484,1,0,24,99,10,"Medium",1.1,99
2010,51,"JAM",2868630,0.6052,0.0202,0,0.0261,0.0366,0.6881,0,0,0,2e-04,2e-04,0,0,0,0,0,0,5e-04,5e-04,0,0,1e-04,1e-04,0,0.0056,0,0,1e-04,0,0,0,0,0,0.1994,0.106,0.894,1,0,1,80,5,"High",1.1,80
1960,52,"TRI",900000,0.0884,0.3329,0,0.1945,0.0228,0.6386,0,0,0,0,0,0,0,0,0,0,0,0.0553,0.0553,0,0,0,0,0,0.2116,0,0,0,0,0,0,0,0,0.0257,0.0689,0.9311,1.0001,0,24,5,10,"Medium",1.1,15
1965,52,"TRI",996844,0.0933,0.3354,0,0.1609,0.0197,0.6093,0,0,0,2e-04,2e-04,0,0,0,0,0,0,0.0551,0.0551,0,0,0.001,0.001,0,0.211,0,0,3e-04,0.002,0,0,0,0,0.0121,0.1091,0.8909,1.0001,0,24,8,24,"Medium",1.1,20
1970,52,"TRI",971000,0.1097,0.38,0,0.15,0.0194,0.6591,0,0,0,3e-04,3e-04,0,0,0,0,0,0,0.062,0.062,0,0,0.0021,0.0021,0,0.2371,0,0,6e-04,0.0041,0,0,0,0,0.001,0.0337,0.9663,1,0,24,4,5,"Medium",1.1,7
1975,52,"TRI",1176000,0.1067,0.333,0.002,0.1251,0.0638,0.6306,0,0,0,3e-04,3e-04,0,0,0,0,0,5e-04,0.0549,0.0554,0,0,0.0017,0.0017,0,0.2121,0,0,0.0037,0.0017,0,0.0015,0,0.0043,9e-04,0.0876,0.9124,0.9998,0,34,99,35,"Low",1.1,99
